,number,value,params_df_max_layers,params_df_min_samples_leaf,params_df_n_trees,state
404,404,0.5040499777161132,50,1,238,COMPLETE
405,405,0.5020990537938407,45,1,242,COMPLETE
406,406,0.5028273099136835,43,1,252,COMPLETE
407,407,0.5006046741661067,49,1,244,COMPLETE
408,408,0.5033112343133569,49,1,248,COMPLETE
409,409,0.567860402434888,38,15,244,COMPLETE
410,410,0.5248356292027718,47,5,240,COMPLETE
411,411,0.5774599511999401,35,17,234,COMPLETE
412,412,0.5040503432779594,36,1,250,COMPLETE
413,413,0.5006046741661067,39,1,244,COMPLETE
414,414,0.5117914522871764,50,3,222,COMPLETE
415,415,0.5024332595160541,46,1,256,COMPLETE
416,416,0.5040499777161132,48,1,238,COMPLETE
417,417,0.5034047552351938,37,1,246,COMPLETE
418,418,0.5040193867789052,21,1,300,COMPLETE
419,419,0.5551594251155073,40,11,242,COMPLETE
420,420,0.5028273099136836,49,1,252,COMPLETE
421,421,0.5130844788311859,50,3,238,COMPLETE
422,422,0.5040503432779594,43,1,250,COMPLETE
423,423,0.503311234313357,39,1,248,COMPLETE
424,424,0.502648152085041,46,1,234,COMPLETE
425,425,0.5043465434838871,50,1,240,COMPLETE
426,426,0.5006046741661067,39,1,244,COMPLETE
427,427,0.5027733145768905,33,1,260,COMPLETE
428,428,0.5048862035148023,42,1,204,COMPLETE
429,429,0.5034047552351938,49,1,246,COMPLETE
430,430,0.5023397093628366,44,1,178,COMPLETE
431,431,0.5111494754201141,41,3,254,COMPLETE
432,432,0.5040499777161132,44,1,238,COMPLETE
433,433,0.5020990537938408,40,1,242,COMPLETE
434,434,0.5036645941680614,44,1,228,COMPLETE
435,435,0.503311234313357,43,1,248,COMPLETE
436,436,0.5026481520850411,38,1,234,COMPLETE
437,437,0.5006046741661067,48,1,244,COMPLETE
438,438,0.5006046741661067,11,1,244,COMPLETE
439,439,0.5028273099136835,42,1,252,COMPLETE
440,440,0.5092724417296355,3,3,216,COMPLETE
441,441,0.5043465434838871,48,1,240,COMPLETE
442,442,0.503311234313357,50,1,248,COMPLETE
443,443,0.501952720567399,46,1,236,COMPLETE
444,444,0.5029078886889093,13,1,292,COMPLETE
445,445,0.5006046741661067,34,1,244,COMPLETE
446,446,0.5024332595160541,45,1,256,COMPLETE
447,447,0.5043729858424487,41,1,166,COMPLETE
448,448,0.5043465434838871,42,1,240,COMPLETE
449,449,0.5034047552351938,37,1,246,COMPLETE
450,450,0.5028273099136835,39,1,252,COMPLETE
451,451,0.5020990537938408,47,1,242,COMPLETE
452,452,0.501952720567399,48,1,236,COMPLETE
453,453,0.5027815339601585,44,1,230,COMPLETE
454,454,0.503311234313357,39,1,248,COMPLETE
455,455,0.5112226143241597,41,3,240,COMPLETE
456,456,0.503311234313357,39,1,248,COMPLETE
457,457,0.5128535449439897,41,3,244,COMPLETE
458,458,0.5040503432779594,45,1,250,COMPLETE
459,459,0.5006046741661067,40,1,244,COMPLETE
460,460,0.5308711106852911,45,7,236,COMPLETE
461,461,0.5453720511021096,37,9,240,COMPLETE
462,462,0.5249513196108022,45,5,256,COMPLETE
463,463,0.5040503432779594,43,1,250,COMPLETE
464,464,0.5040499777161133,43,1,238,COMPLETE
465,465,0.5034047552351938,44,1,246,COMPLETE
466,466,0.5036991114710622,42,1,232,COMPLETE
467,467,0.5020990537938408,49,1,242,COMPLETE
468,468,0.5034047552351939,48,1,246,COMPLETE
469,469,0.5028273099136836,44,1,252,COMPLETE
470,470,0.5050966193308402,36,1,192,COMPLETE
471,471,0.5020990537938408,50,1,242,COMPLETE
472,472,0.5040499777161132,38,1,238,COMPLETE
473,473,0.5128182265503428,42,3,248,COMPLETE
474,474,0.5026220231124772,49,1,254,COMPLETE
475,475,0.5026481520850411,49,1,234,COMPLETE
476,476,0.5006046741661067,47,1,244,COMPLETE
477,477,0.5020990537938408,5,1,242,COMPLETE
478,478,0.503311234313357,49,1,248,COMPLETE
479,479,0.5027733145768902,50,1,260,COMPLETE
480,480,0.5128535449439897,36,3,244,COMPLETE
481,481,0.5040499777161132,48,1,238,COMPLETE
482,482,0.5028273099136836,38,1,252,COMPLETE
483,483,0.5043465434838871,46,1,240,COMPLETE
484,484,0.5040503432779594,45,1,250,COMPLETE
485,485,0.5037779011202961,43,1,224,COMPLETE
486,486,0.5036991114710622,40,1,232,COMPLETE
487,487,0.5034047552351938,46,1,246,COMPLETE
488,488,0.5043465434838871,39,1,240,COMPLETE
489,489,0.5124509968156105,8,3,236,COMPLETE
490,490,0.5034047552351938,31,1,246,COMPLETE
491,491,0.5025678434965438,17,1,256,COMPLETE
492,492,0.5020990537938408,49,1,242,COMPLETE
493,493,0.503311234313357,50,1,248,COMPLETE
494,494,0.5006046741661067,11,1,244,COMPLETE
495,495,0.5040503432779594,44,1,250,COMPLETE
496,496,0.5019527205673989,43,1,236,COMPLETE
497,497,0.5020990537938408,34,1,242,COMPLETE
498,498,0.5034047552351938,48,1,246,COMPLETE
499,499,0.5026220231124772,40,1,254,COMPLETE
